FilePath,Orientation,Mean_NGS,Median_NGS,Std_NGS,Q25_NGS,Q75_NGS,Mean_NGS_Eroded,Median_NGS_Eroded,Std_NGS_Eroded,Q25_NGS_Eroded,Q75_NGS_Eroded,N_slices,Num_voxels_in_mask,Num_voxels_in_mask_Eroded
W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-032\DICOM\00006B9D\AA100FF4\AA57324C\0000391B\0000391B_ax_t2_tse_Med_DRS_480_20251231000000_3.nii.gz,axial,7.937774928033676e-05,1.4153037413984117e-05,0.00021132189450842208,1.2163287281303349e-05,2.7474397908876812e-05,0.00011664018475781822,2.52357143786555e-05,0.00023144317177801527,1.7296411061553758e-05,5.663893119759007e-05,28,4087047,2473874
W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-032\DICOM\00006B9D\AA100FF4\AA57324C\00007322\00007322_ax_t2_tse_20251231000000_2.nii.gz,axial,0.002968158160810355,4.099700264924e-05,0.014307669137184616,3.693457855142492e-05,8.835776877229868e-05,0.0040239007716309245,7.898420227178098e-05,0.01682374819452259,5.152994229421763e-05,0.00019398745798532505,28,1164335,704397
W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-032\DICOM\00006B9D\AA100FF4\AA57324C\0000BF75\0000BF75_cor_t2_tse_20251231000000_16.nii.gz,coronal,0.00010958279967101281,4.402719670595872e-05,0.00019640990624040678,3.2317767967368e-05,7.18912341073284e-05,0.00023694883614984729,6.306326242802579e-05,0.0004287483564738559,4.608303346478412e-05,0.00016536067678024505,29,1140480,685159
W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-031\DICOM\00007510\AAACB1C2\AAFAF247\00004533\00004533_ax_t2_tse_20251218000000_2.nii.gz,axial,0.00023506840031885842,5.6022900951126e-05,0.0007087762030448471,4.1081360074665493e-05,7.945829102048383e-05,0.00043232139427980823,9.48754490161849e-05,0.0010567873307083186,6.048508365510112e-05,0.0002268634951704784,26,1075407,631706
W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-031\DICOM\00007510\AAACB1C2\AAFAF247\0000A949\0000A949_ax_t2_tse_20251218000000_4.nii.gz,axial,0.0004344771869882362,5.3393910101707696e-05,0.0014518064804187884,4.1999310352656486e-05,8.207552515391419e-05,0.0006909488942849218,9.317269221139012e-05,0.0018856096763940633,6.120277863599117e-05,0.00024047907641462635,26,1085983,642011
W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-031\DICOM\00007510\AAACB1C2\AAFAF247\0000F5B7\0000F5B7_ax_t2_tse_Med_DRS_480_20251218000000_3.nii.gz,axial,0.00012001839915573546,1.822534951115899e-05,0.00043839882359992735,1.3442415524533573e-05,2.546616305936691e-05,0.00020033841159402963,2.9483453702798352e-05,0.0005701487721930543,2.0758750683376063e-05,7.558108533648757e-05,26,3783607,2228400
W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-030\DICOM\000048D9\AA1C8A45\AA433609\00002F29\00002F29_ax_t2_tse_20251217000000_3.nii.gz,axial,9.481855853492596e-05,2.650412098761814e-05,0.00023780680963471078,1.939576436581534e-05,4.0871481250164796e-05,0.00013426964005624017,4.32080305530797e-05,0.0002539251849938535,3.15741561405583e-05,7.868770953200706e-05,28,805231,381618
W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-028\DICOM\0000D216\AAE2A942\AA4A1C24\000094B6\000094B6_ax_t2_tse_20251217000000_3.nii.gz,axial,0.0014462131584091252,0.0010039663614395265,0.000819286411438725,0.0008183936067070076,0.002016165004700022,0.0,0.0,0.0,0.0,0.0,28,8421,0
W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-027\DICOM\0000885D\AA3EE150\AA0C8827\000049A1\000049A1_ax_t2_tse_20251217000000_2.nii.gz,axial,0.0001236037454254367,3.3131922232176936e-05,0.00025617404779305664,2.960576716643043e-05,6.73889139148225e-05,0.00021583337392084672,6.092463776293473e-05,0.00038145768991577905,3.9372175225653196e-05,0.00015594826724545102,26,1198635,725312
W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-027\DICOM\0000885D\AA3EE150\AA0C8827\0000FA0B\0000FA0B_cor_t2_tse_20251217000000_13.nii.gz,coronal,5.379084260293583e-05,2.9694622242761735e-05,5.178107876762674e-05,2.4776663770714996e-05,5.3176758050653574e-05,7.679172998116963e-05,4.0341870951556615e-05,7.750897925094237e-05,3.3774568656618354e-05,7.749185200501231e-05,29,1199339,748475
